cosit,Description
3182,"M18 Between Jn17 Ardrahan and Jn18 M6 Galway, Kilcolgan Co. Galway"
3301,TME 01 M03 Jn04 to Jn05
3302,TME 02 M03 Jn05 North-side Ramps
3303,TME 03 M03 Jcn05 to Jcn06
3304,TME 04 M03 Jnc06 North-side Ramps
3305,TME 05 M03 Jn06 to Jn07
3306,TME 05 M03 Jn07 North-side Ramps
3307,TME 07 M03 Jn07 to Jn08
3308,TME 08 M03 Jn08 North-side Ramps
3309,TME 09 M03 Jn08 to Jn09
3310,TME 10 M03 Jn09 North-side Ramps
3311,TME 11 M03 Jn09 to Jn10
3312,TME 12 M03 Jn10 Northbound On Ramp
3313,TME 13 M03 Jn10 Southbound On Ramp
3314,TME 14 M03 Jn10 to Jn11
3401,TME-01 M04 Jn11 M04/M06 to Jn12 Kinnegad
3402,TME-02 M06 Jn02 to Jn11 M04/M06
3403,TME-03 M04 Jn09 Enfield to Jn10 Kinnegad
3404,TME-04 M04 Jn09 Enfield
3405,TME 05 M04 Jn08 Kilcock to Jn09 Enfield
3601,M06 Jn14 Ballinasloe East to Jn15 Ballinasloe West
3602,M06 Jn16 Carrowkeel (Loughrea) to Jn17 Athenry
3603,M06 Jn15 Ballinasloe West to Jn16 Carrowkeel (Loughrea)
3604,M06 Jn17 Athenry to Jn19 Glennascaul
3605,M06 Jn19 (Western Side) Ramps Glennascaul
3701,M08 Jn03 Rathdowney to Jn04 Urlingford
3702,M07/M08 to Jn03 Rathdowney
3703,M07 Jn19 to M07 Jn21 Borris in Ossory
3704,M07 Jn17 Portlaoise to Jn18 Portlaoise West
3801,M08 Watergrasshill Jn18 to Jn17 Northbound
3802,M08 Watergrasshill Jn17 to Jn18 Southbound
3803,M08 Between Jn16 and Jn17
3804,"M08 Corrin Bridge, Jnc15 to Jnc16"
3805,M08 Corrin Jn15 South Side On/Off-Slips
3806,M08 Corrin Jnc15 Northbound On-Slip
3807,M08 Corrin Jnc15 Southbound Off-Slip
10113,"M11 Jack Whites, North of Arklow, Co. Wicklow"
15010,"M50 Between Jn14 Dun Laoghaire and Jn15 Carrickmines, Cabinteely, Co. Dublin"
15011,"M50 Betweenn Jn15 Carrickmines and Jn16 Cherrywood ,Cabintely, Co. Dublin"
15012,"M50 Between Jn16 Cherrywood and Jn17 M50/M11, Shankill, Co. Dublin"
20011,"M01 Between Jn02 Dublin Airport and Jn03 Swords, Swords, Co. Dublin"
20012,"M01 Between Jn04 Donabate and Jn05 Balbriggan South, Co. Dublin"
20013,"M01 Between Jn11 Monasterboice and Jn12 Dunleer, Co. Louth"
20014,"M01 Between Jn13 Dunleer (North) and Jn14 N2/Ardee, Charleville, Co. Louth"
20016,"N01 North of Jn20 Jonesborough, Ravensdale, Co. Louth"
20018,"M01 Between Jn18 Carlingford and Jn19 Ravensdale, Ballymascanlan Co. Louth"
20019,"M01 Between Jn15 Castlebellingham and Jn14 N2/Ardee, Drumleck, Co. Louth"
20021,"M02 Between Jn01 M50/N02 and Jn02, Coldwinters, Co Dublin"
20022,"M02 Between Jn02 St. Margrets and Jn03 Ashbourne (South), Ashbourne, Co. Meath"
20023,"N02 Between Collon and Ardee, Hunterstown, Co. Louth"
20024,"N02 Between NI Border and Emyvale, Mullinderg, Co. Monaghan"
20031,"R147 Between Dunshaughlin and Navan, Tara, Co. Meath"
20032,"R147 (Old N03) Between Kells and Navan, Martry, Co. Meath"
20033,"R147 (Old N03) Between Blackbull and Dunshaughlin, Co. Meath"
20034,"N03 Between Virginia and Cavan, Poles, Co. Cavan."
20036,"N03 Between Belturbet and George Mitchell Bridge at NI Border, Belturbet, Co. Cavan"
20041,"M04 Between Jn06 Celbridge and Jn07 Maynooth, Maynooth, Co. Kildare"
20042,"M04, Maynooth,West Co. Kildare"
20044,"M04 Between Jn16 Delvin and Jn17 Castlepollard, Mullingar Bypass, Co. Westmeath"
20045,"N04 Between Dublin Road and Granard Road Roundabouts, Longford Bypass, Co. Longford"
20046,"N04 Between Longford and Carrick-on-Shannon, Dromod Bypass, Co. Leitrim"
20047,"N04 Between Jn01 N4/M50 and Jn02 Liffey Valley, Liffey Valley, Co. Dublin"
20051,"N05 Between Tulsk and Frenchpark, Frenchpark, Co. Roscommon"
20061,"M06 Between Jn02 Kinnegad (West) and Jn03 Rochfortbridge, Co. Meath"
20062,"M06 Between Jn04 Tyrrellspass and Jn05 Tullamore, Kilbeggan, Co. Westmeath"
20063,"M06 Between Jn05 Tullamore and Jn06 Moate (East), Horseleap, Co. Westmeath"
20064,"M06 Between Jn07 Moate (West) and Jn08 Ferbane, Athlone East, Co. Westmeath"
20065,"N06 Between Jn11 Athlone (Centre) and Jn12 Roscommon, Athlone Bypass, Co. Westmeath"
20066,"R446 (Old N06) Between Athlone and Ballinasloe, Ballydangan, Co. Roscommon"
20067,"R446 (Old N06) Between Loughrea and Ballinasloe, Cappataggle, Go. Galway"
20071,"N07 Between Jn07 Kill and Jn08 Johnstown, Kill, Co. Kildare"
20204,"N20 Between Blarney and Mallow, Lissavoura, Co. Cork"
20205,"M20 Between Jn02 Loughmore and Jn03 Ballycummin, Co. Limerick"
20211,"N21 Between Abbeyfeale and R551 Jn, Templeglantine, Co. Limerick"
20212,"N21 Between Adare and M20 Jn, Nouborough, Co. Limerick"
20221,"N22 Between Tralee and Farranfore, Flemby, Co. Kerry"
20222,"N22 Between Ballincollig and Ovens, Ballincollig, Co. Cork"
20223,"N22 South of Carrigohane, Poulavone, Co. Cork"
20224,"N22 Between Killarney and Macroom, Ballyvourney Co. Cork"
20241,"N24 Between Clonmel and Cahir, Woodroffe, Co. Tipperary"
20242,"N24 North of Cahir, Kilemly, Co. Tipperary"
20243,"N24 Between Ballysimon and R513 Jn, Killonan, Co. Limerick"
20251,"N25 Southwest of Rosslare Harbour, Kilraine Co. Wexford"
20252,"N25 Between NewRoss and Wexford Town, Carrickbyrne, Co. Wexford"
20253,"N25 Between New Ross and Waterford City, Glenmore, Co. Waterford"
20255,"N25 Northeast of Dungarvan, Skehanard, Co. Waterford"
20256,"N25 Carrigtohill Bypass, Carrigtohill, Co. Cork"
20257,"N25 Between Littleisland and Carigtohill, Tullegreinne, Co. Cork"
20258,"N25 At the Interchange Between N25 and N28, Littleisland, Co. Cork"
20301,"N30 Between New Ross and Enniscorthy, Scarke, Co. Wexford"
20511,"N51 Between Navan and Slane, Carrickdexter, Co. Meath"
20521,"N52 Between Delvin and Mullingar, Delvin, Co. Westmeath"
20522,"N52 North of Tyrrellspass, Co. Westmeath"
20523,"N52 Between Tullamore and Kilbeggan, Co. Westmeath"
20524,"N52 Southwest of Tullamore, Co. Offaly"
20525,"N52 Between Dundalk and M1, Dundalk (Southlink), Co. Louth"
20526,"N52 North of Dundalk, Co. Louth"
20561,"N56 Between Letterkenny and Ellistrin, Mountaintop, Co. Donegal"
20562,"N56 Between Dungloe and R252 Jn, Co. Donegal"
20563,"N56 North of Donegal, Drumrooske, Co. Donegal"
20591,"N59 Between Mullranny and Newport, Newfield, Co. Mayo"
20601,"N60 Between Balla and Claremorris, Ballynastangfod, Co. Mayo"
20611,"N61 Between Athlone and Roscommom, Newtown, Co. Roscommon"
20621,"N62 Between Roscrea and Birr, Sharavogue, Co Offaly"
20671,"N67 Between Ennistimon and Lisdoonvarna, Co. Clare"
20701,"N70 Between Caherciveen and Glenbeigh, Gortaforia, Co. Kerry"
20721,"N72 Between Fermoy and Ballyhooley, Castlehyde, Co. Cork"
20801,"N80 South N80/N52 Jn, Tullamore, Co. Offaly"
20802,"N80 Between Ballon and Kildavin , Ballyhealy, Co, Wexford"
20811,"N81 Between Hollywood and Baltinglass, Donard, Co. Wicklow"
20812,"N81 Between Tullow and N81/N80 Jn, Co. Carlow"
20861,"N86 Between Dingle and Annascaul, Emlagh, Co. Kerry"
20905,"M09 Between Jn06 Carlow (South) and Jn07 Paulstown, Powerstown, Co. Carlow"
20906,"M09 Between Jn07 and Jn08, Jordanstown, Co. Kilkenny"
20907,"M09 Between Jn08 Kilkenny and Jn09 Kilkenny (South), Co. Kilkenny"
20908,"M09 Between Jn09 Kilkenny (South) and Jn10 Knocktopher, Danesfort, Co. Kilkenny"
31021,M1-2 M01 Southbound Off Slip Jn09 - TMU
31031,"M01 Between Jn 07 Julinstown and Jn08 Drogheda South, Co. Louth"
31041,M1-4 M01 Northbound On-Slip Jn09 - TMU
31061,M1-6 M01 Castlebellingham Jn15 to Jn16
32501,N25 Between R680 and R710 Junctions (Kilmeaden Bypass)
32502,N25 between N09 and N29 Junctions (Waterford Bypass North)
100720,"M07 Between Jn26 Nenagh and Jn27 Birdhill, Birdhill, Co. Tipperary"
200171,"N01 Between Jn19 Ravensdale and Jn20 Jonesborough (Northbound), Ravensdale, Co. Louth"
200711,"R445 Between Borris-in-Ossory and Mountrath, Pike of Rushall, Co. Laois"
200713,"M07 Between Jn29 M07/N24 Ballysimon and Jn30 M07/M18/20 Rossbrien, Rossbrien, Co. Limerick"
200714,"R445 Between Castletroy and Annacotty Roundabouts, Annacotty, Co. Limerick"
200715,"M07 Between Jn23 Moneygall and Jn24 Toomevara, Co. Offaly"
200716,"M07 Between Jn22 Roscrea and Jn23 Moneygall, Co. Offaly"
200717,"M07 Between Jn21 Bossis-in-Ossory and Jn22 Roscrea, Co. Laois"
200718,"M07 Between Jn24 Nenagh and Jn25 Thurles, Nenagh, Co. Tipperary"
200719,"M07 Between Jn25 Nenagh (Central) and Jn26 Nenagh (West), Nenagh, Co. Tipperary"
200720,"M07 Between Jn26 Nenagh (West) and Jn27 Birdhill, Birdhill, Co. Tipperary"
200721,"M07 Between Jn27 Birdhill and J28 Castletroy, Birdhill, Co. Tipperary"
200722,"M07 Between Jn28 Castletroy and Jn29 M7/N24 Ballysimon, Castletroy, Co. Limerick"
200723,"N07 Westbound Between Jn05 Athgoe and Jn06 Castlewarden, Kilteel, Co. Kildare"
200811,"N08 Between Glanmire Roundabound and Jn19 N08/N25 Dunkettle, Cork"
200812,"M08 Between Jn17 Watergrasshill and Jn18 Glanmire, Watergrasshill, Co. Cork"
201081,"R108 Between Ballymun and Jn04 M50, Dublin"
201082,"R108 North of M50 Jn04 Ballymun, Co. Dublin"
201321,"R132 South of Julianstown, Whitecross, Co. Meath"
202103,"N21 Castleisland Bypass, Mullaghmarky, Co. Kerry"
202104,"N21 Castleisland Bypass, Dooneen, Co. Kerry"
202301,"N23 Castleisland Bypass, Kealgorm, Co. Kerry"
202639,"R639 Between Exit 15 of M08 and Rathcormac, Co. Cork"
